date,count
"2024-06-09 00:02:11",3
"2024-06-09 00:07:14",3
"2024-06-09 00:12:15",3
"2024-06-09 00:17:16",3
"2024-06-09 00:22:17",1
"2024-06-09 00:27:18",1
"2024-06-09 00:32:18",1
"2024-06-09 00:37:22",1
"2024-06-09 00:42:22",1
"2024-06-09 00:47:23",1
"2024-06-09 00:52:24",1
"2024-06-09 00:57:25",1
"2024-06-09 01:02:26",1
"2024-06-09 01:07:29",1
"2024-06-09 01:12:29",1
"2024-06-09 01:17:30",1
"2024-06-09 01:22:31",1
"2024-06-09 01:27:32",1
"2024-06-09 01:32:33",1
"2024-06-09 01:37:36",1
"2024-06-09 01:42:36",1
"2024-06-09 01:47:37",1
"2024-06-09 01:52:38",1
"2024-06-09 01:57:39",1
"2024-06-09 02:02:39",1
"2024-06-09 02:07:42",1
"2024-06-09 02:12:43",1
"2024-06-09 02:17:44",1
"2024-06-09 02:22:44",1
"2024-06-09 02:27:45",1
"2024-06-09 02:32:46",1
"2024-06-09 02:37:49",1
"2024-06-09 02:42:50",1
"2024-06-09 02:47:50",1
"2024-06-09 02:52:51",1
"2024-06-09 02:57:52",1
"2024-06-09 03:02:53",2
"2024-06-09 03:07:56",2
"2024-06-09 03:12:56",4
"2024-06-09 03:17:57",4
"2024-06-09 03:22:58",4
"2024-06-09 03:27:59",4
"2024-06-09 03:32:59",4
"2024-06-09 03:38:03",4
"2024-06-09 03:43:03",4
"2024-06-09 03:48:04",4
"2024-06-09 03:53:05",4
"2024-06-09 03:58:05",4
"2024-06-09 04:03:06",4
"2024-06-09 04:08:09",5
"2024-06-09 04:13:10",6
"2024-06-09 04:18:11",6
"2024-06-09 04:23:11",6
"2024-06-09 04:28:12",6
"2024-06-09 04:33:13",7
"2024-06-09 04:38:16",7
"2024-06-09 04:43:17",8
"2024-06-09 04:48:18",8
"2024-06-09 04:53:19",8
"2024-06-09 04:58:20",7
"2024-06-09 05:03:21",8
"2024-06-09 05:08:24",8
"2024-06-09 05:13:25",7
"2024-06-09 05:18:26",8
"2024-06-09 05:23:26",9
"2024-06-09 05:28:27",9
"2024-06-09 05:33:28",10
"2024-06-09 05:38:31",14
"2024-06-09 05:43:32",15
"2024-06-09 05:48:32",19
"2024-06-09 05:53:33",23
"2024-06-09 05:58:34",24
"2024-06-09 06:03:35",26
